Review,Rating,App Name,Sentiment
not working,1,Ola Driver,Negative
very nice,5,Ola Driver,Positive
बहुत ही घटिया और गंदा ओला ऐप है या एक भी बुकिंग एक्सेप्ट नहीं होता हजार बुकिंग इसमेंबचता है लेकिनएक भी,1,Ola Driver,Negative
"Why does it need contacts permission when no other driver apps are asking this permission. It's not needed for driver apps, so I'm uninstalling this app.",1,Ola Driver,Negative
price problam,1,Ola Driver,Negative
nice apps rellay money💸💸💸💸,5,Ola Driver,Positive
Kay faltu update Kiya he aaplo ne koi trip accept nahi ho raha he 100 ka trip accept ho raha our 1000 ka sirf dikh rha he our another driver accepted likhe aarahe he recharge karke 1 hour huva aabhi tak booking nahi,1,Ola Driver,Negative
rate Sahi nahin Hai iske,1,Ola Driver,Negative
एक नंबर भिकारी अँप आहे....,1,Ola Driver,Negative
एप्लीकेशन update होने के बाद तो बुकिंग और नहीं उठ रही है,1,Ola Driver,Negative
mast,5,Ola Driver,Positive
"don't join this company totally fake lk,l working . Jaffa customer care service money not transfer your account totally drinker s company",1,Ola Driver,Negative
ok,5,Ola Driver,Positive
new update bhot kharab hy sab 1 star reting kro ola ka,1,Ola Driver,Negative
duniya Ki Sabse Badi ek number per aane wali chor company hai Ola driver logon Ko todne refund karte aur na to Koi customer support driver ko bilkul support nahin Hai,1,Ola Driver,Negative
bad sarvesh,2,Ola Driver,Negative
not getting one duty also after payment 150rs pass car in not showing in ola customer app,1,Ola Driver,Negative
low price,1,Ola Driver,Negative
waste application 1 hour order fake orders,1,Ola Driver,Negative
super earnings,5,Ola Driver,Positive
unable to login error msg came please complete previous trip 😞,1,Ola Driver,Negative
sir booking nahi ud pa raha hai sir,5,Ola Driver,Positive
"There is a problem in accepting the ride in the Ola app and after completing the ride, for example, if the vehicle has driven 10 kilometers, then the Ola bill comes for 8 kilometers, due to which we drivers suffer loss and the pickup location It is too much, minimum three to four kilometers of pickup is included in every ride.Ola should fix this problem.",5,Ola Driver,Positive
ride nhi aati hai agar aati hai to accept nhi hoti hai,1,Ola Driver,Negative
chor company,1,Ola Driver,Negative
not sign up,2,Ola Driver,Negative
"ola app owner plz do font size big because we can see clearly , do on the next update 😡😡",1,Ola Driver,Negative
good 👍,5,Ola Driver,Positive
App not ಗುಡ್ old super,1,Ola Driver,Negative
old version good new waste,1,Ola Driver,Negative
good,5,Ola Driver,Positive
cheap trip,1,Ola Driver,Negative
gh,5,Ola Driver,Positive
seriously is worst app no help no customer care,5,Ola Driver,Positive
Ride utte hi nahi hai bekar app hai,1,Ola Driver,Negative
order Sarai barala idhu thumba West idu thumba fake app,1,Ola Driver,Negative
Bhada Nahin Aata Hai,1,Ola Driver,Negative
all ok,1,Ola Driver,Negative
"For distances between 1.5 and 2.00 kilometers, an additional charge of ₹ 15/25 will be charged for emptying the autorickshaw..",1,Ola Driver,Negative
good,5,Ola Driver,Positive
Amchya zivavar company chalavarat Ani tumchya pramane ret tharawatat he koni sangitale Ata pass pan ghya Ani pratyak raids mage 3rupaye kadhayacha Dhanda suru kela ret Pan khoob Kami ke liye he band kara,1,Ola Driver,Negative
ok,5,Ola Driver,Positive
where good app,5,Ola Driver,Positive
sir call me mai order nhi le pa raha hoon please help,5,Ola Driver,Positive
not booking Resecv Long time wathing,1,Ola Driver,Negative
Order not accpted,1,Ola Driver,Negative
ORDER SECTION TOO HARD TO SEE AFTER UPDATE. OLA WALE ACCIDENT KARWANA CHAHTE HAI. No support for Ola Driver no Customer care for Ola driver no Support team for ola driver Digital payment not credited from ola to driver Bhai log ola Digital payment wale se bach ke rehna my payment stuck,1,Ola Driver,Negative
chiting money,1,Ola Driver,Negative
in new update the booking is not showing full address you guys have to update this asap to that we have to see the full address while picking up the order,1,Ola Driver,Negative
good,5,Ola Driver,Positive
The app was already worst with no proper bookings to the riders and now with new update we can't even see exact pickup address and drop address.,1,Ola Driver,Negative
not good,5,Ola Driver,Positive
