Review,Rating,App Name,Sentiment
chip company frod company,1,Ola Driver,Negative
it's high time uber updates its maps coz honestly there is a problem there. Bad maps means wrong distance calculations which also leads to wrong trip pricing.,4,Uber Driver,Positive
good,5,Uber Driver,Positive
"Great app, I'm new to Uber and I find the app very helpful.",5,Uber Driver,Positive
good,5,Rapido Captain,Positive
superb,5,Uber Driver,Positive
Be careful captains. This app got hacked and allowing fake rides. You don't get any payment to those rides. They will just say sorry.,1,Rapido Captain,Negative
wowwwwwww💋,5,Uber Driver,Positive
service is wrost,1,Rapido Captain,Negative
like good job,5,Rapido Captain,Positive
great app,5,Uber Driver,Positive
good 👍,5,Ola Driver,Positive
"Money is useless, you can travel very fast or both of them are useless, they eat the driver's money to get themselves somewhere.",1,Uber Driver,Negative
nice app,5,Ola Driver,Positive
The lowest application that should be banned in Uber India is Uber.,1,Uber Driver,Negative
veellaki customer's mathrame kaavali vaallake preference driver avasaram ledhu mari driver lekunte customers ni ela drop chestharoo and yesterday 38 km ki 630 amount chupinchadu booking thesukunnaka total 74km vachindhi+toll 130 booking complete chesina taruvata still 630 chupistundi customer support ki call cheste memu yem cheylemu antunnaru very worst experience,1,Rapido Captain,Negative
if customer cancel the ride that also affect your performance worst logic,1,Rapido Captain,Negative
"“It is a waste of time, and you cannot earn as much money as they claim in ads or apps. Please don’t try it.”",1,Rapido Captain,Negative
absolutely the best,5,Uber Driver,Positive
"the ride is cheap, you have to pay a lot",4,Uber Driver,Positive
Good,5,Ola Driver,Positive
I can't login with my number.whenever i try to login its shows something went wrong please try again after some time.since 3 days I am trying it shows same error,1,Rapido Captain,Negative
very poor service auto selected the wrong details and block my account very low price to other bike taxi services,1,Uber Driver,Negative
waste company and fraud service,1,Ola Driver,Negative
not good the uber driver,1,Uber Driver,Negative
"evil, predatory company. it could be as simple as making things that are outside the driver's control not count against their rating and not paying them less because the customer tipped. I would stop doing this if I didn't need more than what a full time job provides. it's very demoralizing.",1,Uber Driver,Negative
this app is cheating for drivers',1,Ola Driver,Negative
worst app,1,Ola Driver,Negative
worst interface,2,Ola Driver,Negative
thank,5,Uber Driver,Positive
customer care is working badly.,1,Uber Driver,Negative
ok,5,Rapido Captain,Positive
To hard to sign up.,1,Uber Driver,Negative
very bad .most 3rd class..,1,Rapido Captain,Negative
"There is no service and even if the driver does not commit any mistake, a 24-hour suspension is imposed.",1,Rapido Captain,Negative
my aadhar card and pan card upload still on process. till 10 days. no action taking . today I am waiting for 1 hour no order received in demand area. for old captain subscription fee low but for new captain it's very high. commission of rapido 20% but company take 28% no action on it even complain no response after mail,1,Rapido Captain,Negative
nice,5,Ola Driver,Positive
excellent for uber drivers,5,Uber Driver,Positive
"Only for bike trips, max trips on maximum level 120₹ to 200₹..., no any outstation trips",1,Rapido Captain,Negative
Uber is world no.1 aap,5,Uber Driver,Positive
low money rider coming plz request I'm,5,Uber Driver,Positive
"nice to work, intepedently",5,Rapido Captain,Positive
froud aap,1,Rapido Captain,Negative
good,5,Uber Driver,Positive
thank you,5,Rapido Captain,Positive
Uber automatically kicks out drivers when bookings are low. ..Playing with the emotions of drivers. Have you ever suspended the driver please uninstall this app.,1,Uber Driver,Negative
"Alert ⚠️ 📢 fake app rapido big scam .Please don't downloading this app 5000rs scam Captain 2000rs wallet back and you con,t used wallet amount . please carefully and next point 6 to 10 day time waste .",1,Rapido Captain,Negative
"This stupid app doesn't have much benefit, you get a lot of money, it also charges commission in the log, the km rate is also less, the labor cost of the whole ground is reduced, see how it can be reduced.",1,Rapido Captain,Negative
very bad experience low quality GPS running and wrong fare this app today I have taken a trip pickup is 1.6 and dropp location over 6 km ola fare is 64 ruppes partner support is broken this app and also Custumber cancelled Tripp when I set there location but cancellation charge is 0 🤔,1,Ola Driver,Negative
earn freely and enjoy,5,Rapido Captain,Positive
I feel gud using the app,5,Uber Driver,Positive
Ola very Nice 👍,5,Ola Driver,Positive
Not use full waste earning,1,Uber Driver,Negative
💞 i 💞love💝Ola💝🛺💝,5,Ola Driver,Positive
nic,5,Rapido Captain,Positive
I love it so far,5,Uber Driver,Positive
good,5,Uber Driver,Positive
very good service,5,Uber Driver,Positive
bike saver rides bht low price,1,Uber Driver,Negative
"Ola subscription pass money is spent, driver is not giving even 1 booking, how many times have I taken ola subscription pass money, not even 1 booking has been taken, Ola is proud, you are the worst, you are not sending even some OTP to the driver, the driver is not even comfortable in making calls, he has blocked the call center service in Ola, I have been logging in to Ola for 2 hours now but he is not coming, he is robbing the driver.",1,Ola Driver,Negative
My id lock no solution,1,Ola Driver,Negative
very nice ❤️,1,Rapido Captain,Negative
Nice,5,Ola Driver,Positive
"Rapido app is giving such a ride in which the rider gets km time even in 1 second. Rapido is now useless, no money is being given, any complaint is also not listened to, along with commission pack, it is making BS too expensive.",1,Rapido Captain,Negative
"The worst app to work on. It doesn't work properly, it gets stuck whenever we are doing orders, making it hard to go online. I am trying to go online for the last 5 mins it says something went wrong it happens all the time when we go offline and then try to come online. It doesn't have the feature to slide the order just a click, many times I accept the orders that were accidentally accepted and it has a cancellation limit of 2 orders per day that makes it hard to cancel .",1,Rapido Captain,Negative
very bad company,1,Rapido Captain,Negative
"I've facing problem unable to accepted rides while pop up on mobile interface it's so much irritating for riders fix it as soon as and also app running very slow, customers booking incorrect pickup point location before they booking you may should ask in the app confirmation for picup point is it correctly pinning or not , before reaching customers location there are canceling it , not getting proper rides while after subscription what you made to fooling us.",1,Ola Driver,Negative
please update new version and pass not showing in app,4,Ola Driver,Positive
excellent,5,Uber Driver,Positive
"Brother, there is a very low price for the driver. Who is beating you? No one is thinking from the drivers' side. Brother.",1,Rapido Captain,Negative
Goog job,5,Ola Driver,Positive
not good app,1,Ola Driver,Negative
earning is worst,1,Uber Driver,Negative
Amazing,5,Uber Driver,Positive
good,5,Ola Driver,Positive
My Ola ID has been blocked since 20 days but it is still not working.,5,Ola Driver,Positive
very very bad sarvice in rapido. only fec dutys coming. no raiting verey bad sarvice.,1,Rapido Captain,Negative
very harassment this app,1,Uber Driver,Negative
I'm interested Job,5,Ola Driver,Positive
Idea on to Ho nahi hai hai,1,Rapido Captain,Negative
"Ever since the new app has been updated, there is no sound in the map. There are many riders like me who travel only by listening to the sound of the map. They never see the navigation. I also do not see the navigation. I only listen to the sound and travel on the basis of voice. Since the sound of the map has stopped, I am facing a lot of trouble. Please do and correct it.",1,Rapido Captain,Negative
very bad service given for drivers,1,Ola Driver,Negative
pls update app,1,Ola Driver,Negative
I am not logging in.,1,Ola Driver,Negative
The price is a useless app but after accepting the ride I realized why it doesn't show the price.,1,Rapido Captain,Negative
on app,5,Ola Driver,Positive
"Booking is not working, white bar is coming",1,Ola Driver,Negative
"I have mg zs ev car 2025 model, for this car they are giving only uber go and go non ac and priority ride only no intercity no rentals I called customer care they saying it's our rules sir and tata tigor ev have all other options that car range is 200 and my car range is 400+ worst response from costumer care",1,Uber Driver,Negative
good onlain.ishu help mi ples,5,Ola Driver,Positive
"This is a fraud app, I am not giving incentive, the rest of the captains are being given daily incentive, I called the repido customer care to ask about this, I called the customer care guy to talk to me or I referred my friend, it was showing in the app that I got 1500 rs of mileage on referral, but I also asked about this, I did not get the money for your referral, fraud is logged, these repido guys are doing illegal work, they are just drivers. se",1,Rapido Captain,Negative
nice 👍,5,Ola Driver,Positive
good,5,Uber Driver,Positive
worst app,1,Rapido Captain,Negative
ok,5,Uber Driver,Positive
best app,5,Uber Driver,Positive
bad experience,1,Rapido Captain,Negative
I do not like that you send drivers to pick up orders at closed restaurants then don't compensate for the time wasted despite asking for picture proof. Customers have the ability to bait and switch with tips. Most customers aren't bad but this app is trash especially considering having to wait an hour for pay to update to the full amount (due to giving customers an hour to make adjustments to amount tipped) you're encouraging abuse of the platform. Won't be keeping this app much longer.,1,Uber Driver,Negative
yes yes 5 star,5,Rapido Captain,Positive
good very useful app,5,Ola Driver,Positive
bad login service,1,Ola Driver,Negative
It does not indicate the next step well in addition to using road numbers that are not used or not at least in the road announcements.,2,Uber Driver,Negative
great money,5,Uber Driver,Positive
good,5,Ola Driver,Positive
disappointed,1,Rapido Captain,Negative
good 👍,5,Rapido Captain,Positive
The cancellation charges are not credited it always shows a bad rating .,1,Rapido Captain,Negative
kdk Uber driver hi,5,Uber Driver,Positive
Ola is a thief who is misbehaving with the driver and has blocked his ID without even knowing the driver.,1,Ola Driver,Negative
Kachada app cab gay km gay 16 rs 18 rs govarment rate 24 rs irod adanna koduttail warest app uninstall,1,Rapido Captain,Negative
airport pickup and drop not rate only 10 rupees 11 rupees not good only bad driver application,1,Ola Driver,Negative
WORST APPLICATION. People who want extra income please don't trust this app as they take a lot of commission in the name of charges. don't waste your time and your bike fuel for this useless application.,1,Rapido Captain,Negative
Best,5,Rapido Captain,Positive
excellent,5,Uber Driver,Positive
yes nick,5,Ola Driver,Positive
not generating the app,1,Ola Driver,Negative
gjb app hai brother,5,Uber Driver,Positive
"when i set my phone volume medium then why the hell volume goes full while ride come, it's extremely irritating and not sound good, pls fix this problem.",1,Ola Driver,Negative
"follow up is also pathetic of no use,the email service is also useless ,worst customer service and their rules.I completed a parcel order but was not compansiated (Cash) for it the pickup and delivery address were just for reference, when asked the customer care to help me and contact the customer they said it's not their problem i need to find them by my self.",1,Rapido Captain,Negative
"Rapido is the worst company. 21 kilometer fare is given at Rs. 187. Which company should I buy a bike from? This company is stupid, it does not give proper fare and calls to customer care does not help.",1,Rapido Captain,Negative
sardi may be ham kar ta ha or uber hamari said bikluk be ne dak de rate ne date ha,1,Uber Driver,Negative
very good app,5,Ola Driver,Positive
good,5,Ola Driver,Positive
ok,5,Uber Driver,Positive
otp not received,1,Rapido Captain,Negative
good,4,Rapido Captain,Positive
No one should book Ola. Ola is a fraud. Earlier I was cheated in Ola's scooty and now I am doing fraud in booking.,1,Ola Driver,Negative
cut my cash,1,Uber Driver,Negative
nice you,5,Ola Driver,Positive
3rd Class App,1,Ola Driver,Negative
Best Earning Apps.,5,Rapido Captain,Positive
noteinstol,5,Rapido Captain,Positive
"“Extremely poor rates for drivers. There is little respect for driver safety or earnings. Local private hire companies in most cities pay almost double for similar work. Uber’s algorithmic dynamic pricing takes a large cut, pushes most jobs into Trip Radar, and creates pressure to accept low-pay trips out of fear of penalties. This model feels exploitative and unsustainable for drivers.",1,Uber Driver,Negative
"★★★ 04/10/2025 : All such aggregators are baggers, they do bagging from drivers and show their customers that they are billionaires, but in reality how poor they are 🤣🤣🤣",1,Ola Driver,Negative
"For distances between 1.5 and 2.00 kilometers, an additional charge of ₹ 15/25 will be charged for emptying the auto rickshaw.",1,Uber Driver,Negative
good,5,Uber Driver,Positive
"For the past two weeks, most offers I receive have been excessively long mileage with horribly low pay. I've called and messaged Customer Service, and they just say go offline. When I go back online, it's the same thing. On top of that, when I outright reject an order you send it back to me 3 or 4 times as if trying to force me to accept it. It's killing my acceptance rate, and I can't make any money.",1,Uber Driver,Negative
"It's virtually impossible to be connected to human support (this is on purpose) and if you do get through to a person they have no idea what they're talking about, and can't help you. Cancellation rate goes up if a store is closed, if the person before you stole the food, extreme flooding making it impossible to reach the dropoff. Walmart couldn't fill an order for 3 people and it counted as 3 cancellations. The first tier of their rewards requires 8 percent or less. I went up 6% in one day.",1,Uber Driver,Negative
bad application,1,Uber Driver,Negative
