Review,Rating,App Name,Sentiment
chip company frod company,1,Ola Driver,Negative
it's high time uber updates its maps coz honestly there is a problem there. Bad maps means wrong distance calculations which also leads to wrong trip pricing.,4,Uber Driver,Positive
good,5,Uber Driver,Positive
"Great app, I'm new to Uber and I find the app very helpful.",5,Uber Driver,Positive
good,5,Rapido Captain,Positive
superb,5,Uber Driver,Positive
Be careful captains. This app got hacked and allowing fake rides. You don't get any payment to those rides. They will just say sorry.,1,Rapido Captain,Negative
wowwwwww💋,5,Uber Driver,Positive
service is wrost,1,Rapido Captain,Negative
like good job,5,Rapido Captain,Positive
great app,5,Uber Driver,Positive
good 👍,5,Ola Driver,Positive
bekar hain paise bahut kam detahain rapido or ye dono bekar hain apne aap koh aage lane ke liye driver ka paisa khate hain,1,Uber Driver,Negative
nice app,5,Ola Driver,Positive
Sab Se Ghatiya Application He Uber India Me Band kardena chahiye is uber ko,1,Uber Driver,Negative
veellaki customer's mathrame kaavali vaallake preference driver avasaram ledhu mari driver lekunte customers ni ela drop chestharoo and yesterday 38 km ki 630 amount chupinchadu booking thesukunnaka total 74km vachindhi+toll 130 booking complete chesina taruvata still 630 chupistundi customer support ki call cheste memu yem cheylemu antunnaru very worst experience,1,Rapido Captain,Negative
if customer cancel the ride that also affect your performance worst logic,1,Rapido Captain,Negative
"“It is a waste of time, and you cannot earn as much money as they claim in ads or apps. Please don’t try it.”",1,Rapido Captain,Negative
absolutely the best,5,Uber Driver,Positive
ride sasti hai bahut par chalana padta hai,4,Uber Driver,Positive
Good,5,Ola Driver,Positive
I can't login with my number.whenever i try to login its shows something went wrong please try again after some time.since 3 days I am trying it shows same error,1,Rapido Captain,Negative
very poor service auto selected the wrong details and block my account very low price to other bike taxi services,1,Uber Driver,Negative
waste company and fraud service,1,Ola Driver,Negative
not good the uber driver,1,Uber Driver,Negative
"evil, predatory company. it could be as simple as making things that are outside the driver's control not count against their rating and not paying them less because the customer tipped. I would stop doing this if I didn't need more than what a full time job provides. it's very demoralizing.",1,Uber Driver,Negative
this app is cheating for drivers',1,Ola Driver,Negative
worst app,1,Ola Driver,Negative
worst interface,2,Ola Driver,Negative
thank,5,Uber Driver,Positive
customer care is working badly.,1,Uber Driver,Negative
ok,5,Rapido Captain,Positive
To hard to sign up.,1,Uber Driver,Negative
very bad .most 3rd class..,1,Rapido Captain,Negative
faltu service hain driver se kuch galti na hone pr bhi 24hr ka suspension laga dete hain,1,Rapido Captain,Negative
my aadhar card and pan card upload still on process. till 10 days. no action taking . today I am waiting for 1 hour no order received in demand area. for old captain subscription fee low but for new captain it's very high. commission of rapido 20% but company take 28% no action on it even complain no response after mail,1,Rapido Captain,Negative
nice,5,Ola Driver,Positive
excellent for uber drivers,5,Uber Driver,Positive
"Only for bike trips, max trips on maximum level 120₹ to 200₹..., no any outstation trips",1,Rapido Captain,Negative
Uber is world no.1 aap,5,Uber Driver,Positive
low money rider coming plz request I'm,5,Uber Driver,Positive
"nice to work, intepedently",5,Rapido Captain,Positive
froud aap,1,Rapido Captain,Negative
good,5,Uber Driver,Positive
thax,5,Rapido Captain,Positive
Uber automatically kicks out drivers when bookings are low. .. drivers ki bhavnao ke sath khelta hai. kabhi bhi driver ko suspend kar deta hai plz🙏 Uninstall this app.,1,Uber Driver,Negative
"Alert ⚠️ 📢 fake app rapido big scam .Please don't downloading this app 5000rs scam Captain 2000rs wallet back and you con,t used wallet amount . please carefully and next point 6 to 10 day time waste .",1,Rapido Captain,Negative
bakvas app jada benifit nahi hai zat bhar ka paisa milta hai usmai bhi in log ke charges commission km rate bhi kam kadha majduri hai pura ground mai aake kam karke dekho,1,Rapido Captain,Negative
very bad experience low quality GPS running and wrong fare this app today I have taken a trip pickup is 1.6 and dropp location over 6 km ola fare is 64 ruppes partner support is broken this app and also Custumber cancelled Tripp when I set there location but cancellation charge is 0 🤔,1,Ola Driver,Negative
earn freely and enjoy,5,Rapido Captain,Positive
I feel gud using the app,5,Uber Driver,Positive
Ola very Nice 👍,5,Ola Driver,Positive
Not use full waste earning,1,Uber Driver,Negative
💞 i 💞love💝Ola💝🛺💝,5,Ola Driver,Positive
nic,5,Rapido Captain,Positive
I love it so far,5,Uber Driver,Positive
good,5,Uber Driver,Positive
very good service,5,Uber Driver,Positive
bike saver rides bht low price,1,Uber Driver,Negative
ola subscription pass ka paisa khata hai driver ka 1 bhi booking nahi deta merese kitne bar ola subscription pass ka paisa liya 1 bhi booking nahi deta ola froud hai sabse ghatiya aap hai driver ke liye kuch bhi vevasta nahi isme driver ko kuch bhi asuvida hui to call karneki bhi suvida nahi he ola me call center service band kar diya ola ne abhi 2 ghantese ola ko login kar raha hu lekin otp he nahi aa rahi lut raha hai driver ko,1,Ola Driver,Negative
My id lock no solution,1,Ola Driver,Negative
very nice ❤️,1,Rapido Captain,Negative
Nice,5,Ola Driver,Positive
rapido app ab aise ride dena jisme rider ko 1 second s bhi km tim milta hai uthane m rapido ab bekar ho raha hai paise bhi sahi nahi deta hai koi complaint bhi thik s nahi sunta sath m commission pack bs mahega kr raha hai,1,Rapido Captain,Negative
"The worst app to work on. It doesn't work properly, it gets stuck whenever we are doing orders, making it hard to go online. I am trying to go online for the last 5 mins it says something went wrong it happens all the time when we go offline and then try to come online. It doesn't have the feature to slide the order just a click, many times I accept the orders that were accidentally accepted and it has a cancellation limit of 2 orders per day that makes it hard to cancel .",1,Rapido Captain,Negative
very bad company,1,Rapido Captain,Negative
"I've facing problem unable to accepted rides while pop up on mobile interface it's so much irritating for riders fix it as soon as and also app running very slow, customers booking incorrect pickup point location before they booking you may should ask in the app confirmation for picup point is it correctly pinning or not , before reaching customers location there are canceling it , not getting proper rides while after subscription what you made to fooling us.",1,Ola Driver,Negative
please update new version and pass not showing in app,4,Ola Driver,Positive
excellent,5,Uber Driver,Positive
bahut hi kam bhada de raha hai driver Bhai Koi is aap ko mat chalao drivers ke side se koi vichaar nhai hai Bhai,1,Rapido Captain,Negative
Goog job,5,Ola Driver,Positive
not good app,1,Ola Driver,Negative
earning sabse ghatia,1,Uber Driver,Negative
Amazing,5,Uber Driver,Positive
good,5,Ola Driver,Positive
20 din se meri ola id block padi he abhi tak chalu nhi huyi,5,Ola Driver,Positive
very very bad sarvice in rapido. only fec dutys coming. no raiting verey bad sarvice.,1,Rapido Captain,Negative
very harassment this app,1,Uber Driver,Negative
I'm interested Job,5,Ola Driver,Positive
Idea on to Ho nahin rahi hai,1,Rapido Captain,Negative
जब से नया ऐप अपडेट हुआ है तब से मैप में आवाज नहीं आती मेरे जैसे कई राइडर ऐसे हैं जो सिर्फ मैप की आवाज सुनकर ट्रैवलिंग करते हैं वो कभी भी नेविगेशन नहीं देखते मैं भी नेवीगेशन नहीं देखता मैं सिर्फ आवाज सुनता हूं और आवाज की आधार पर ट्रैवलिंग करता हूं जब से यह मैप की आवाज बंद हुई है मुझे बहुत परेशानी होती है कृपया करके इसे सही करें,1,Rapido Captain,Negative
very bad service given for drivers,1,Ola Driver,Negative
pls update app,1,Ola Driver,Negative
login nahi ho raha hai,1,Ola Driver,Negative
bekar app hai price ride accept karne ke baad pata lgta hai pehle kyu nahi dikhate price,1,Rapido Captain,Negative
on app,5,Ola Driver,Positive
बुकिंग बसत नही पांढरी पट्टी येत आहे,1,Ola Driver,Negative
"I have mg zs ev car 2025 model, for this car they are giving only uber go and go non ac and priority ride only no intercity no rentals I called customer care they saying it's our rules sir and tata tigor ev have all other options that car range is 200 and my car range is 400+ worst response from costumer care",1,Uber Driver,Negative
good onlain.ishu help mi ples,5,Ola Driver,Positive
fraud app hai meko incentive nhi de raha hai baki captains ko daily incentive de raha hai ye baat puchne k liye Maine repido customer care me call Kiya to mere se ulti baat karrahe the customer care wale or Maine mere dost ko refer Kiya app me dikha rha Tha k 1500rs refer karne par mileage lekin ye baat bhi pucha to bolte hai nhi milega apko refer ka paisa fraud log hai ye repido wale haram ka kha Rahe Hai bas driver se,1,Rapido Captain,Negative
nice 👍,5,Ola Driver,Positive
good,5,Uber Driver,Positive
worst app,1,Rapido Captain,Negative
ok,5,Uber Driver,Positive
best app,5,Uber Driver,Positive
bad experience,1,Rapido Captain,Negative
I do not like that you send drivers to pick up orders at closed restaurants then don't compensate for the time wasted despite asking for picture proof. Customers have the ability to bait and switch with tips. Most customers aren't bad but this app is trash especially considering having to wait an hour for pay to update to the full amount (due to giving customers an hour to make adjustments to amount tipped) you're encouraging abuse of the platform. Won't be keeping this app much longer.,1,Uber Driver,Negative
yes yes 5 star,5,Rapido Captain,Positive
good very useful app,5,Ola Driver,Positive
bad login service,1,Ola Driver,Negative
no señaliza bien el siguiente paso ademas de usar numeros de caminos que no se usan o no al menos en los anuncios de carretera,2,Uber Driver,Negative
great money,5,Uber Driver,Positive
good,5,Ola Driver,Positive
disappointed,1,Rapido Captain,Negative
good 👍,5,Rapido Captain,Positive
The cancellation charges are not credited it always shows a bad rating .,1,Rapido Captain,Negative
kdk Uber driver hai,5,Uber Driver,Positive
Ola chor hai Driver ke sath galat kar rha hai Driver se bina puche uska ID block kar deta hai,1,Ola Driver,Negative
ಕಚಡಾ app cab ಗೇ km ಗೇ 16 rs 18 rs ಕೊಡುತ್ತಾನೆ govarment ರೇಟ್ 24 rs ಇರೋದ್ ಅದನ್ನ ಕೊಡುತ್ತಾಇಲ್ಲ warest app uninstall ಮಾಡಿ,1,Rapido Captain,Negative
airport pickup and drop not rate only 10 rupees 11 rupees not good only bad driver application,1,Ola Driver,Negative
WORST APPLICATION. People who want extra income please don't trust this app as they take a lot of commission in the name of charges. don't waste your time and your bike fuel for this useless application.,1,Rapido Captain,Negative
Best,5,Rapido Captain,Positive
excellent,5,Uber Driver,Positive
yes nick,5,Ola Driver,Positive
not generating the app,1,Ola Driver,Negative
gjb app hai bhaiyo,5,Uber Driver,Positive
"when i set my phone volume medium then why the hell volume goes full while ride come, it's extremely irritating and not sound good, pls fix this problem.",1,Ola Driver,Negative
"follow up is also pathetic of no use,the email service is also useless ,worst customer service and their rules.I completed a parcel order but was not compansiated (Cash) for it the pickup and delivery address were just for reference, when asked the customer care to help me and contact the customer they said it's not their problem i need to find them by my self.",1,Rapido Captain,Negative
rapido sabse bakwas company hai 21 kilometre ka bhada 187 deta hai kis company ko bike karo yah company bakwas hai yah proper bada nahin deti Hai aur customer care mein call karte hain to customer care ko help nahin karta hai,1,Rapido Captain,Negative
sardi may be ham kam kar ta ha or uber hamari said bikluk be ne dak de Rate ne date ha,1,Uber Driver,Negative
very good app,5,Ola Driver,Positive
good,5,Ola Driver,Positive
ok,5,Uber Driver,Positive
otp not received,1,Rapido Captain,Negative
good,4,Rapido Captain,Positive
No one should book Ola. Ola is a fraud. Earlier I was cheated in Ola's scooty and now I am doing fraud in booking.,1,Ola Driver,Negative
cut my cash,1,Uber Driver,Negative
nice aap,5,Ola Driver,Positive
3rd ಕ್ಲಾಸ್ ಆಪ್,1,Ola Driver,Negative
Best Earning Apps.,5,Rapido Captain,Positive
noteinstol,5,Rapido Captain,Positive
"“Extremely poor rates for drivers. There is little respect for driver safety or earnings. Local private hire companies in most cities pay almost double for similar work. Uber’s algorithmic dynamic pricing takes a large cut, pushes most jobs into Trip Radar, and creates pressure to accept low-pay trips out of fear of penalties. This model feels exploitative and unsustainable for drivers.",1,Uber Driver,Negative
