Review,Rating,App Name,Sentiment
the cancellation charges are not credited it always shows a bad rating,1,Rapido Captain,Negative
good,5,Ola Driver,Positive
good,5,Uber Driver,Positive
such a waste app and they deactivate account without any reasons and also fare is not fair plz dont use this service better u can use rapido,1,Uber Driver,Negative
,5,Rapido Captain,Positive
good,5,Uber Driver,Positive
good very useful app,5,Ola Driver,Positive
very bad,1,Rapido Captain,Negative
good,5,Rapido Captain,Positive
nice application but order not fast slowly order,5,Rapido Captain,Positive
guys dont do rapido traffic police is doing fine and seize bike so its req dont do rapido,1,Rapido Captain,Negative
nice,5,Ola Driver,Positive
nahi chahiye,1,Ola Driver,Negative
nice app,5,Ola Driver,Positive
cant accept booking easily become a worst app once its a top earning app now it is worse,1,Ola Driver,Negative
very good app for drivers give very good incentives as compared to other apps,5,Uber Driver,Positive
bad app,5,Ola Driver,Positive
what the hell i didnt recieve promotion money of and it is not showing in the app i uninstalled the app worst experience please dont work in this company,1,Uber Driver,Negative
so good,5,Ola Driver,Positive
third class app not working well,1,Ola Driver,Negative
mha ghatiya,1,Ola Driver,Negative
good,5,Ola Driver,Positive
awesome,5,Rapido Captain,Positive
wow,5,Uber Driver,Positive
worst app,1,Rapido Captain,Negative
booking not accepted,1,Ola Driver,Negative
otp not received,1,Rapido Captain,Negative
very good aap,5,Rapido Captain,Positive
there is very little earning in this a ride of rupees is available in this there is no sense at all in how much can one earn in this rapido also get less rides for many hours there is no ride,1,Rapido Captain,Negative
i worked with rapido as a captain for years this job is very high risk last year i had a major lorry accident and got multiple fractures that day i was off duty but had worked the previous day rapido refused to help with my hospital bills saying support is only for onduty accidents its been a year i still cant work and i received no support think twice before joining,1,Rapido Captain,Negative
overall i enjoy uber as an exec driver however it needs live speed cams and speed trap alerts to pop over centre screen until driver hits ok,5,Uber Driver,Positive
poor customer service never connect in customer service provider and no response very worst app in my life,1,Ola Driver,Negative
every single thing i have been told about this app both from uber uber help and google and other drivers is completely false help offers no help and there is no assistance whatsoever for drivers i would suggest anyone get any other job and make money in any other way before falling for this sham of a trapping scam do better uber the world is hard enough right now,1,Uber Driver,Negative
i do not like that you send drivers to pick up orders at closed restaurants then dont compensate for the time wasted despite asking for picture proof customers have the ability to bait and switch with tips most customers arent bad but this app is trash especially considering having to wait an hour for pay to update to the full amount due to giving customers an hour to make adjustments to amount tipped youre encouraging abuse of the platform wont be keeping this app much longer,1,Uber Driver,Negative
my app another driver ola driver,1,Ola Driver,Negative
nice,5,Ola Driver,Positive
worst service dont use ola app at all any one if you face any problem you cant even connect with customer service,1,Ola Driver,Negative
good,5,Rapido Captain,Positive
the uber app lets me earn a day and have been on hrs plus called support nothing,1,Uber Driver,Negative
super,5,Uber Driver,Positive
lovely,4,Rapido Captain,Positive
payouts are not worth accepting dont waste your time or energy with this company theres too many others to work with that pay better,1,Uber Driver,Negative
very good,5,Uber Driver,Positive
it is a wonderful app i can accept all the orders and complete i love ola,5,Ola Driver,Positive
useless app they cant support my id was blocked i begged the customer care but they decided my account still deactivate i worked years with star driver but this app cant reactivate my account,1,Uber Driver,Negative
good app for work,4,Rapido Captain,Positive
good,1,Uber Driver,Negative
nice,5,Rapido Captain,Positive
jyada paisa commission katata hai bike boost ka odar dekhe paisa maar leta hai har jagah bike boost chalu kar diya faltu rapido company,1,Rapido Captain,Negative
best,5,Ola Driver,Positive
i accept the order pickup is km and drop km my show in price rs and i accept this order and pickup the customer then drop is km show in map and customer paid me rs kya ye sahi rate h km ke mje km show kya drop but mene complain kya but ola is no responsibilie ola ke map me km sahi h,1,Ola Driver,Negative
continue application issue,1,Rapido Captain,Negative
good app solid experience,5,Rapido Captain,Positive
very bad experience for rapido food dilivery no any help call support very bad from food dilivery,1,Rapido Captain,Negative
mene uber me abhi apni id banayi thi pr mujhe id banane k bad uber app me pahle se kisi n id bna rkhi hai or mai sign in karne k bad bhi active nhi ho pa rha hu mere licence pr kisi n fraud id bna rkhi hai uber me aise kese ho sakta hai plz ans uber mene apko cc no par bhi call milaya hai koi response nhi mila kyo n mai apke khilaf fir kr du or ye sab social media pr bhi dal du agar aap log mujhe koi reply nhi de to,1,Uber Driver,Negative
good,5,Uber Driver,Positive
so far ive done hundreds of deliveries not only is this app finicky it also harasses you and steals your money the tips should not be calculated into the base pay because theyre subject to change an hour after delivery nearly every single person cancels the tip afterwards ive changed my review to say the spam deliverys while im trying to find the customer are asssas overall i would suggest using instacart,1,Uber Driver,Negative
good,5,Ola Driver,Positive
supr,5,Uber Driver,Positive
bad,1,Ola Driver,Negative
very good platform ola drivers partner app,5,Ola Driver,Positive
booking for,2,Ola Driver,Negative
worst for divers not getting rides transfer money from wallet not come in account,1,Rapido Captain,Negative
very poor experience the app is unreliable and often shows incorrect ride availability drivers cancel frequently without any reason and customer support is completely unhelpful fare estimates change suddenly and waiting time is much longer than shown overall the service is disappointing and not trustworthy needs serious improvement,1,Rapido Captain,Negative
most best awesome ever app,5,Uber Driver,Positive
a supreme rd class application extreme bad experience without on boarding kiti no support team to resolve or address the concern its completely blunder,1,Rapido Captain,Negative
faltu app,1,Ola Driver,Negative
one of the biggest fraud company for the rapido captain,1,Rapido Captain,Negative
worst app for driver,1,Uber Driver,Negative
very good app,5,Ola Driver,Positive
outstation rental booking,5,Ola Driver,Positive
verry useful app thank you sir,5,Rapido Captain,Positive
the app was already worst with no proper bookings to the riders and now with new update we cant even see exact pickup address and drop address,1,Ola Driver,Negative
u update app bcz not use rapido captain app but ride is coming but show amount in my phone,4,Rapido Captain,Positive
jab subscription lene ke bad bhi ride ni uth rhi toh insan kya kre aise toh subscription lene wala sabse bda bewkoof hua froud hai pura scene hi aap ka bht zyada hi khrab kaam hai,1,Ola Driver,Negative
price bahut kam deta hai uber na koi issme order kare na koi book kre isme uber me ghatiya hai rs rs ki ride aur jo paise dikhte hai apne ap kam ho jate hai,1,Uber Driver,Negative
nice,5,Ola Driver,Positive
good,5,Uber Driver,Positive
zero stars uber doesnt pay driver enough trips are an insult,1,Uber Driver,Negative
nice,5,Rapido Captain,Positive
goog job,5,Ola Driver,Positive
nice,5,Rapido Captain,Positive
dear ola support team this is extremely frustrating and unacceptable i transferred money from the ola app to my bank account the amount has been successfully deducted from my ola balance but it has not been credited to my bank account there is no proper customer support no response and no way to reach your team despite this being a serious financial issue this kind of service failure is highly irresponsible,1,Ola Driver,Negative
